# This is a list of available GPUdb endpoints.
# Lines starting with a '#' are comments.

/add                    add_object_request              add_object_response
/addsymbol              add_symbol_request              add_symbol_response
/boundingbox            bounding_box_request            bounding_box_response
/bulkadd                bulk_add_request                bulk_add_response
/bulkupdate		bulk_update_request		bulk_update_response
/clear                  clear_request                   clear_response
/cleartrigger           clear_trigger_request           clear_trigger_response
/convexhull             convex_hull_request             convex_hull_response
/exit                   exit_request                    exit_response
/deleteobject           delete_object_request           delete_object_response
/filterbybounds         filter_by_bounds_request        filter_by_bounds_response
/filterbylist           filter_by_list_request          filter_by_bounds_response
/filterbynai            filter_by_nai_request           filter_by_nai_response
/filterbyradius         filter_by_radius_request        filter_by_radius_response
/filterbyset            filter_by_set_request           filter_by_set_response
/filterbystring         filter_by_string_request        filter_by_string_response
/filterbytrack          filter_by_track_request         filter_by_track_response
/filterbytrackvalues    filter_by_track_values_request  filter_by_track_values_response
/filterbyvalue          filter_by_value_request         filter_by_value_response
/filterthenhistogram    filter_then_histogram_request   filter_then_histogram_response
/generateheatmapvideo   generate_heatmap_video_request  generate_heatmap_video_response
/generatevideo          generate_video_request          generate_video_response
/getobjects             get_objects_request             get_objects_response
/getorphans             get_orphans_request             get_orphans_response
/getset                 get_set_request                 get_set_response
/getsetmetadata         get_set_metadata_request        get_set_metadata_response
/getsetobjects          get_set_objects_request         get_set_objects_response
/getsetproperties       get_set_properties_request      get_set_properties_response
/getsetsbytypeinfo      get_sets_by_typeinfo_request    get_sets_by_typeinfo_response
/getsortedset           get_sorted_set_request          get_sorted_set_response
/gettracks2             get_tracks2_request             get_tracks2_response
/gettriggerinfo         get_trigger_info_request        get_trigger_info_response
/gettypeinfo            get_type_info_request           get_type_info_response
/groupby                group_by_request                group_by_response
/groupbyvalue           group_by_value_request          group_by_value_response
/histogram              histogram_request               histogram_response
/maxmin                 maxmin_request                  maxmin_response
/newset                 new_set_request                 new_set_response
/random                 random_request                  random_response
/registerparentset      register_parent_set_request     register_parent_set_response
/registertriggernai     register_trigger_nai_request    register_trigger_nai_response
/registertriggerrange   register_trigger_range_request  register_trigger_range_response
/registertype           register_type_request           register_type_response
/registertypewithannotations register_type_with_annotations_request register_type_with_annotations_response
/select                 select_request                  select_response
/selectdelete           select_delete_request           select_delete_response
/selectupdate           select_update_request           select_update_response
/serverstatus           server_status_request           server_status_response
/servertiming           server_timing_request           server_timing_response
/setinfo                set_info_request                set_info_response
/spatialquery           spatial_query_request           spatial_query_response
/spatialsetquery        spatial_set_query_request       spatial_set_query_response
/statistics             statistics_request              statistics_response
/status                 status_request                  status_response
/storegroupby           store_group_by_request          store_group_by__response
/unique                 unique_request                  unique_response
/updatesetmetadata      update_set_metadata_request     update_set_metadata_response
/updateobject           update_object_request           update_object_response
/updatesetproperties    update_set_properties_request   update_set_properties_response
/updatesetttl           update_set_ttl_request          update_set_ttl_response
#/wms
